task_id,epoch,epoch_start_time,epoch_end_time,train_loss,val_loss
0,1,2025-06-26 13:21:39,2025-06-26 13:23:34,0.050526,0.052171
1,1,2025-06-26 13:21:39,2025-06-26 13:23:34,0.050526,0.052171
0,2,2025-06-26 13:23:43,2025-06-26 13:27:50,0.050521,0.052168
1,2,2025-06-26 13:23:43,2025-06-26 13:27:50,0.050521,0.052168
0,3,2025-06-26 13:28:01,2025-06-26 13:32:12,0.050522,0.052167
1,3,2025-06-26 13:28:01,2025-06-26 13:32:12,0.050522,0.052167
0,4,2025-06-26 13:32:22,2025-06-26 13:36:30,0.050522,0.052167
1,4,2025-06-26 13:32:22,2025-06-26 13:36:30,0.050522,0.052167
0,5,2025-06-26 13:36:40,2025-06-26 13:40:49,0.050522,0.052167
1,5,2025-06-26 13:36:40,2025-06-26 13:40:49,0.050522,0.052167
0,6,2025-06-26 13:40:59,2025-06-26 13:45:08,0.050522,0.052167
1,6,2025-06-26 13:40:59,2025-06-26 13:45:08,0.050522,0.052167
0,7,2025-06-26 13:45:18,2025-06-26 13:49:26,0.050522,0.052167
1,7,2025-06-26 13:45:18,2025-06-26 13:49:26,0.050522,0.052167
0,8,2025-06-26 13:49:36,2025-06-26 13:53:46,0.050522,0.052167
1,8,2025-06-26 13:49:36,2025-06-26 13:53:46,0.050522,0.052167
0,9,2025-06-26 13:53:57,2025-06-26 13:58:08,0.050522,0.052167
1,9,2025-06-26 13:53:57,2025-06-26 13:58:08,0.050522,0.052167
0,10,2025-06-26 13:58:18,2025-06-26 14:02:24,0.050522,0.052167
1,10,2025-06-26 13:58:18,2025-06-26 14:02:24,0.050522,0.052167
0,11,2025-06-26 14:02:34,2025-06-26 14:06:39,0.050522,0.052167
1,11,2025-06-26 14:02:34,2025-06-26 14:06:39,0.050522,0.052167
0,12,2025-06-26 14:06:49,2025-06-26 14:10:55,0.050522,0.052168
1,12,2025-06-26 14:06:49,2025-06-26 14:10:55,0.050522,0.052168
0,13,2025-06-26 14:11:05,2025-06-26 14:15:11,0.050522,0.052167
1,13,2025-06-26 14:11:05,2025-06-26 14:15:11,0.050522,0.052167
0,14,2025-06-26 14:15:21,2025-06-26 14:19:26,0.050522,0.052168
1,14,2025-06-26 14:15:21,2025-06-26 14:19:26,0.050522,0.052168
0,15,2025-06-26 14:19:36,2025-06-26 14:23:45,0.050522,0.052167
1,15,2025-06-26 14:19:36,2025-06-26 14:23:45,0.050522,0.052167
0,16,2025-06-26 14:23:55,2025-06-26 14:28:02,0.050522,0.052167
1,16,2025-06-26 14:23:55,2025-06-26 14:28:02,0.050522,0.052167
0,17,2025-06-26 14:28:12,2025-06-26 14:32:29,0.050522,0.052167
1,17,2025-06-26 14:28:12,2025-06-26 14:32:29,0.050522,0.052167
0,18,2025-06-26 14:32:40,2025-06-26 14:37:04,0.050522,0.052167
1,18,2025-06-26 14:32:40,2025-06-26 14:37:04,0.050522,0.052167
0,19,2025-06-26 14:37:15,2025-06-26 14:41:21,0.050522,0.052167
1,19,2025-06-26 14:37:15,2025-06-26 14:41:21,0.050522,0.052167
0,20,2025-06-26 14:41:32,2025-06-26 14:45:38,0.050522,0.052167
1,20,2025-06-26 14:41:32,2025-06-26 14:45:38,0.050522,0.052167
