model,lookback,lookahead,mae,rmse,mape
lstm,24,24,8.4195912975327,10.791231479843773,96.67396610187438
cnn_lstm,24,24,9.320690857912911,11.610568728866923,114.50627136907083
bilstm,24,24,8.276149682348349,10.512100800553448,97.58393638201063
cnn_bilstm,24,24,8.995256598726224,11.392604761460591,105.22884138252412
