start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
2025-06-20 14:48:10,2025-06-20 14:57:46,1,0.009001208600512055,0.015533543225111706
2025-06-20 15:03:26,2025-06-20 15:14:11,2,0.008777801056144958,0.014389130868948996
2025-06-20 15:19:37,2025-06-20 15:30:04,3,0.0071374364619905374,0.01471323277136045
2025-06-20 15:35:58,2025-06-20 15:45:31,4,0.007165472950538423,0.01760476636367717
2025-06-20 15:51:38,2025-06-20 16:01:12,5,0.006501712804042763,0.01558239571750164
2025-06-20 16:07:17,2025-06-20 16:16:55,6,0.00611766255700066,0.013597963959909976
2025-06-20 16:23:08,2025-06-20 16:32:44,7,0.005890180415902191,0.012606305319682829
