model,lookback,lookahead,mae,rmse,mape
best_model_12_1,12,1,1.5108721106643057,2.2976783343980056,72.55882464803149
best_model_12_2,12,2,1.4526740412147956,2.2182490093512457,64.75352543121251
best_model_12_6,12,6,2.816137604313853,3.5021902290074394,72.99818774366422
best_model_2_1,2,1,1.4406655991312258,2.2715388066512565,57.820836396248055
best_model_2_2,2,2,1.4337755451957426,2.161174921220408,73.56548924215517
best_model_2_6,2,6,2.7557398749875026,3.4039004468732443,72.33358595871128
best_model_6_1,6,1,1.5630124429053929,2.467354164275885,52.20206911370791
best_model_6_2,6,2,1.5852337284590396,2.4270687393176287,62.88650185593696
best_model_6_6,6,6,2.853007517434706,3.5308143896689,73.83424643814698
