start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
2025-06-24 15:23:27,2025-06-24 15:23:35,1,7.406001904979348,0.6125952191650867
2025-06-24 15:23:44,2025-06-24 15:23:52,2,1.7945769352372736,0.3563197182957083
2025-06-24 15:24:01,2025-06-24 15:24:09,3,0.8980453059775755,0.07931372709572315
2025-06-24 15:24:18,2025-06-24 15:24:26,4,0.5959922439069487,0.03211939404718578
2025-06-24 15:24:35,2025-06-24 15:24:43,5,0.41013833272154443,0.02351662868022686
2025-06-24 15:24:52,2025-06-24 15:25:00,6,0.3398929044487886,0.006985596921367687
2025-06-24 15:25:09,2025-06-24 15:25:16,7,0.2998235724517144,0.009905765651637921
2025-06-24 15:25:25,2025-06-24 15:25:33,8,0.2802904026466422,0.009771834993443917
2025-06-24 15:25:42,2025-06-24 15:25:50,9,0.23086864707875066,0.009779688887647353
2025-06-24 15:25:59,2025-06-24 15:26:07,10,0.19840903748990968,0.006415206691599451
2025-06-24 15:26:16,2025-06-24 15:26:24,11,0.2167845950461924,0.011288664001767756
2025-06-24 15:26:33,2025-06-24 15:26:41,12,0.17992392275482416,0.0275862380349281
2025-06-24 15:26:50,2025-06-24 15:26:58,13,0.22763498332642484,0.009272004244849086
2025-06-24 15:27:07,2025-06-24 15:27:15,14,0.2132378115056781,0.08005190041149035
2025-06-24 15:27:25,2025-06-24 15:27:33,15,0.21345658822974656,0.022280020650214283
2025-06-24 15:27:42,2025-06-24 15:27:50,16,0.11249482033599634,0.007343461795244366
2025-06-24 15:27:59,2025-06-24 15:28:07,17,0.13320460566319525,0.07244144090509508
2025-06-24 15:28:16,2025-06-24 15:28:24,18,0.14933485633082455,0.10967475142388139
2025-06-24 15:28:34,2025-06-24 15:28:42,19,0.14508413897419814,0.0344837372249458
2025-06-24 15:28:51,2025-06-24 15:28:59,20,0.12308012299763504,0.018289046787685947
