start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
2025-06-23 12:31:58,2025-06-23 12:32:02,1,0.245892733335495,0.14207719266414642
2025-06-23 12:32:05,2025-06-23 12:32:09,2,0.11857584863901138,0.2170901596546173
2025-06-23 12:32:11,2025-06-23 12:32:15,3,0.17930428683757782,0.20543311536312103
2025-06-23 12:32:18,2025-06-23 12:32:22,4,0.16926446557044983,0.14802497625350952
2025-06-23 12:32:24,2025-06-23 12:32:28,5,0.11926475912332535,0.12177484482526779
2025-06-23 12:32:31,2025-06-23 12:32:35,6,0.11694950610399246,0.13585837185382843
2025-06-23 12:32:38,2025-06-23 12:32:41,7,0.1410129815340042,0.12815971672534943
2025-06-23 12:32:44,2025-06-23 12:32:47,8,0.13025474548339844,0.11251680552959442
2025-06-23 12:32:50,2025-06-23 12:32:54,9,0.10153420269489288,0.12466587126255035
2025-06-23 12:32:57,2025-06-23 12:33:01,10,0.09939795732498169,0.14244934916496277
2025-06-23 12:33:03,2025-06-23 12:33:07,11,0.11446411162614822,0.13625656068325043
2025-06-23 12:33:10,2025-06-23 12:33:14,12,0.10905423015356064,0.113348089158535
2025-06-23 12:33:17,2025-06-23 12:33:20,13,0.08936035633087158,0.10184913128614426
2025-06-23 12:33:23,2025-06-23 12:33:27,14,0.08680903911590576,0.10762940347194672
2025-06-23 12:33:29,2025-06-23 12:33:33,15,0.09780331701040268,0.10576662421226501
2025-06-23 12:33:36,2025-06-23 12:33:39,16,0.094509556889534,0.09821116924285889
2025-06-23 12:33:42,2025-06-23 12:33:46,17,0.08038292080163956,0.10293109714984894
2025-06-23 12:33:48,2025-06-23 12:33:52,18,0.08072861284017563,0.11102573573589325
2025-06-23 12:33:55,2025-06-23 12:33:59,19,0.08853336423635483,0.10728855431079865
2025-06-23 12:34:02,2025-06-23 12:34:06,20,0.08491770178079605,0.09778393805027008
