start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
2025-06-23 12:18:36,2025-06-23 12:19:15,1,0.23218204081058502,0.16599838435649872
2025-06-23 12:19:15,2025-06-23 12:19:51,2,0.14215660095214844,0.20982712507247925
2025-06-23 12:19:51,2025-06-23 12:20:26,3,0.24014697968959808,0.14731423556804657
2025-06-23 12:20:26,2025-06-23 12:21:03,4,0.1380133032798767,0.18002574145793915
2025-06-23 12:21:03,2025-06-23 12:21:38,5,0.14831961691379547,0.16181223094463348
2025-06-23 12:21:38,2025-06-23 12:22:15,6,0.13445061445236206,0.14136871695518494
2025-06-23 12:22:15,2025-06-23 12:22:52,7,0.13093310594558716,0.13971178233623505
2025-06-23 12:22:52,2025-06-23 12:23:30,8,0.13647779822349548,0.13832657039165497
2025-06-23 12:23:30,2025-06-23 12:24:07,9,0.12622494995594025,0.14594057202339172
2025-06-23 12:24:07,2025-06-23 12:24:48,10,0.12350446730852127,0.14823780953884125
2025-06-23 12:24:48,2025-06-23 12:25:29,11,0.12188363075256348,0.13078345358371735
2025-06-23 12:25:29,2025-06-23 12:26:10,12,0.10728921741247177,0.1287047117948532
2025-06-23 12:26:10,2025-06-23 12:26:52,13,0.11207731068134308,0.12495868653059006
2025-06-23 12:26:52,2025-06-23 12:27:36,14,0.09162721037864685,0.1350991278886795
2025-06-23 12:27:36,2025-06-23 12:28:20,15,0.09844166040420532,0.13463450968265533
2025-06-23 12:28:20,2025-06-23 12:29:01,16,0.100127212703228,0.11665359139442444
2025-06-23 12:29:01,2025-06-23 12:29:45,17,0.08384482562541962,0.11635774374008179
2025-06-23 12:29:45,2025-06-23 12:30:30,18,0.08759775012731552,0.10943330079317093
2025-06-23 12:30:30,2025-06-23 12:31:12,19,0.0851052850484848,0.10333973169326782
2025-06-23 12:31:12,2025-06-23 12:31:54,20,0.08481575548648834,0.1004735603928566
