epoch,train_loss,val_loss
1,0.552557957222687,0.8998554505894656
2,0.5360115605112786,0.8965079001977584
3,0.5301240075856369,0.8907407910925874
4,0.5263130452042031,0.8853456161725215
5,0.5227886901777594,0.874930285226717
6,0.5201891471411279,0.8809725322402441
7,0.5185663330206399,0.8703944365282114
8,0.5176548470949434,0.8646461206079269
9,0.51574015967863,0.8609250200014158
10,0.5152612461619575,0.8719462586063014
11,0.5146420108625787,0.8751297136086191
12,0.5128790273691755,0.8736478560911515
13,0.5118352394595687,0.8743752201065433
14,0.5115640099233119,0.8802762947600671
15,0.5092767698424203,0.863867960322411
16,0.5088868306234596,0.8717533139131403
17,0.5096565186127534,0.873165032477715
18,0.5079825820593503,0.8715117094737869
19,0.5072859081749516,0.8686420742548675
20,0.508258375906266,0.8763822324789685
21,0.5061052322541654,0.8635563425867641
22,0.5070889214951073,0.878762192595858
23,0.5056494327860687,0.8726229754395974
24,0.5050425819103211,0.8829599575305201
25,0.5044953244300909,0.8779235896644413
26,0.5048028864486845,0.8647298933369646
27,0.5037268559535536,0.8685498048522878
28,0.5037468299534485,0.8770120523580349
29,0.5028218677051634,0.876035727104488
30,0.5028792477046956,0.8800000645004589
31,0.5025364010889745,0.871157850207402
32,0.5015445508024863,0.8773342408591109
33,0.5011988778532019,0.8698109444517356
34,0.5015001194608295,0.8729810823078634
35,0.5008239694106987,0.8663682005042326
36,0.5014830085879877,0.8836863092387925
37,0.4999178156903303,0.8818276742101948
38,0.500700719202537,0.8821283236984087
39,0.4993415199124726,0.8772452928791419
40,0.4994447666472731,0.8709484154443242
41,0.49946584673784444,0.8780382995076964
42,0.49949130557353283,0.8795467485990329
43,0.49869531892678315,0.8740964704352632
44,0.49864045054414313,0.8627777316982683
45,0.49859562504881094,0.8801565461261298
46,0.49839836099634227,0.8782270774140498
47,0.4977422036865901,0.8722557806594003
48,0.4972491345685866,0.8649813435213738
49,0.4976204169422228,0.8815738551152256
50,0.4974126430104416,0.8798694645506819
51,0.4979648624921587,0.8693772780028772
52,0.49749082344727735,0.8657135412596147
53,0.4960874302804117,0.8694152875070832
54,0.4965229092160439,0.8736910352845444
55,0.49642932305759363,0.869362246812721
56,0.4959577291873405,0.8658292940189959
57,0.49651941222040297,0.871543906594575
58,0.4953636498673508,0.874217204201113
59,0.4961583271575444,0.8737987360726761
60,0.4951367079117505,0.8738937815357034
