start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
2025-06-24 13:41:57,2025-06-24 13:42:16,1,1.4887913665409012,3.0942732133943585
2025-06-24 13:42:25,2025-06-24 13:42:44,2,1.4733158424145287,3.07683808620433
2025-06-24 13:42:53,2025-06-24 13:43:12,3,1.4693943777500365,3.0782229473660188
2025-06-24 13:43:21,2025-06-24 13:43:40,4,1.4683168001076412,3.084112813275399
2025-06-24 13:43:49,2025-06-24 13:44:08,5,1.468389449194793,3.085173985035361
2025-06-24 13:44:18,2025-06-24 13:44:36,6,1.4675019735195598,3.083920186175774
2025-06-24 13:44:46,2025-06-24 13:45:04,7,1.4672028140930173,3.084780297112234
2025-06-24 13:45:14,2025-06-24 13:45:32,8,1.4664908911963406,3.079732287383453
2025-06-24 13:45:42,2025-06-24 13:46:01,9,1.4669301803797892,3.0805655027129237
2025-06-24 13:46:10,2025-06-24 13:46:29,10,1.46703743076635,3.0798062412352993
2025-06-24 13:46:38,2025-06-24 13:46:57,11,1.467113131402504,3.0769152998657567
2025-06-24 13:47:06,2025-06-24 13:47:25,12,1.4659991129085024,3.076041208639863
2025-06-24 13:47:34,2025-06-24 13:47:53,13,1.4663676991573538,3.074646791711305
2025-06-24 13:48:02,2025-06-24 13:48:21,14,1.466366955364203,3.0758248765818847
2025-06-24 13:48:30,2025-06-24 13:48:49,15,1.4665096331627856,3.0765657552936734
2025-06-24 13:48:58,2025-06-24 13:49:17,16,1.4663878355753333,3.075466031373925
2025-06-24 13:49:26,2025-06-24 13:49:45,17,1.4659959825269029,3.0777412838761617
2025-06-24 13:49:55,2025-06-24 13:50:13,18,1.4658923476245092,3.0732626770966807
2025-06-24 13:50:23,2025-06-24 13:50:41,19,1.4643869597724977,3.071191279591241
2025-06-24 13:50:51,2025-06-24 13:51:09,20,1.466127799142486,3.072970886714062
