model,start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:15,2025-06-23 15:51:15,12,0.0026270569641738514,0.0062971301432255475
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:17,2025-06-23 15:51:17,13,0.002666168389656234,0.006306227759480299
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:18,2025-06-23 15:51:18,14,0.002610941951711392,0.006181058773238744
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:19,2025-06-23 15:51:19,15,0.0026236647963187973,0.006274429995322689
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:20,2025-06-23 15:51:20,16,0.0025907131432998747,0.006261692221631252
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:21,2025-06-23 15:51:21,17,0.002567483784603147,0.006363043722341813
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:22,2025-06-23 15:51:23,18,0.0025655447110478637,0.006342911787907637
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:24,2025-06-23 15:51:24,19,0.0025478800941583298,0.006521912197405029
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.2_lr0.0005.pt,2025-06-23 15:51:25,2025-06-23 15:51:25,20,0.0025235104235483744,0.006452132459907304
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:26,2025-06-23 15:51:26,1,0.010969289343058896,0.039491103950976617
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:27,2025-06-23 15:51:27,2,0.010826182047372073,0.03682752682029137
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:28,2025-06-23 15:51:28,3,0.0099486015347128,0.026271722867109236
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:29,2025-06-23 15:51:29,4,0.005432647165200193,0.011696414179390385
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:30,2025-06-23 15:51:30,5,0.0034933252257793993,0.007734383553421746
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:31,2025-06-23 15:51:31,6,0.0030066789554325218,0.006988523078949324
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:32,2025-06-23 15:51:32,7,0.002922339382776273,0.006524672906380147
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:33,2025-06-23 15:51:34,8,0.002871677980832939,0.006619032567998927
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:35,2025-06-23 15:51:35,9,0.0027884012579502317,0.0065619658964264785
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:36,2025-06-23 15:51:36,10,0.00273015122425886,0.006401319720593858
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:37,2025-06-23 15:51:37,11,0.0027281693728452073,0.006713926279363001
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:38,2025-06-23 15:51:38,12,0.0026914690316389364,0.006451990660501733
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:39,2025-06-23 15:51:39,13,0.0026913462501410627,0.006564658021532176
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:40,2025-06-23 15:51:40,14,0.002634666035077818,0.0063468559570277906
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:41,2025-06-23 15:51:41,15,0.002599588328336973,0.006527816316866804
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:42,2025-06-23 15:51:42,16,0.0026083139366888373,0.006693265969044573
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:43,2025-06-23 15:51:43,17,0.0025863853150955318,0.006468665417438994
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:44,2025-06-23 15:51:45,18,0.002554044457672808,0.00670124413833643
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:46,2025-06-23 15:51:46,19,0.0025799946851551027,0.0064737232917520615
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.001.pt,2025-06-23 15:51:47,2025-06-23 15:51:47,20,0.0025688081799652078,0.006450164730527571
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:48,2025-06-23 15:51:48,1,0.016561437984235837,0.04399932896540988
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:49,2025-06-23 15:51:49,2,0.01743882714426913,0.042845913918600195
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:50,2025-06-23 15:51:50,3,0.018965674965228472,0.02832861856690475
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:51,2025-06-23 15:51:51,4,0.014116709191505681,0.02924689939910812
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:52,2025-06-23 15:51:52,5,0.008777454807070472,0.018573968815395518
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:54,2025-06-23 15:51:54,6,0.005177460133730631,0.011974720273255593
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:55,2025-06-23 15:51:55,7,0.003683222617889758,0.008204027744276183
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:56,2025-06-23 15:51:56,8,0.003107947433681568,0.006862907784081818
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:57,2025-06-23 15:51:57,9,0.0028999401968912183,0.006326922617431376
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:58,2025-06-23 15:51:58,10,0.002818760986808741,0.0061876628647691435
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:51:59,2025-06-23 15:51:59,11,0.0027962220923668005,0.006341019199074556
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:00,2025-06-23 15:52:00,12,0.0027604227726315197,0.006317599513013626
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:01,2025-06-23 15:52:01,13,0.002753659785050468,0.006509071376751221
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:02,2025-06-23 15:52:02,14,0.0026866828543021374,0.006253607338294387
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:04,2025-06-23 15:52:04,15,0.002725141211343999,0.006298902317038959
