trial,model,epoch,epoch_start_time,epoch_end_time,train_loss,val_loss
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,7,2025-07-23 11:27:18,2025-07-23 11:28:36,0.018994551814853933,0.052866695646909954
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,8,2025-07-23 11:29:10,2025-07-23 11:30:28,0.018778745804207395,0.06320240384245172
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,9,2025-07-23 11:31:03,2025-07-23 11:32:23,0.018190636360865365,0.05743665739576867
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,10,2025-07-23 11:33:00,2025-07-23 11:34:26,0.017606513710606352,0.05628779500802147
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,11,2025-07-23 11:35:03,2025-07-23 11:36:23,0.018012545020170377,0.06185933977286232
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,12,2025-07-23 11:37:01,2025-07-23 11:38:20,0.01864396183323977,0.06233312003314495
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,13,2025-07-23 11:38:56,2025-07-23 11:40:17,0.018124808964163755,0.05610248993368859
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,14,2025-07-23 11:40:55,2025-07-23 11:42:19,0.017989804840636742,0.05360503108339741
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,15,2025-07-23 11:42:57,2025-07-23 11:44:15,0.018811165510090166,0.05330556448786817
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,16,2025-07-23 11:44:49,2025-07-23 11:46:07,0.018305940904863365,0.050806743290988686
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,17,2025-07-23 11:46:40,2025-07-23 11:47:58,0.018842168346219747,0.049329719803434736
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,18,2025-07-23 11:48:33,2025-07-23 11:49:52,0.018844068318015474,0.05119335619693107
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,19,2025-07-23 11:50:39,2025-07-23 11:52:01,0.017922395466598167,0.04837856863803686
2,model_learning_rate0.001_clip_value0.1_batch_size64_dropout0.3_d_model64_num_layers2_num_heads4_kernel_size6,20,2025-07-23 11:52:37,2025-07-23 11:53:59,0.017857493802878568,0.05003542284619935
3,model_learning_rate0.0001_clip_value0.1_batch_size128_dropout0.1_d_model128_num_layers1_num_heads4_kernel_size6,1,2025-07-23 11:54:50,2025-07-23 12:01:06,0.03347988755620541,0.048073487201084696
3,model_learning_rate0.0001_clip_value0.1_batch_size128_dropout0.1_d_model128_num_layers1_num_heads4_kernel_size6,2,2025-07-23 12:01:32,2025-07-23 12:07:15,0.024989279125757675,0.05575423066814741
